Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,7/16/2012,34.05,34.2,34.2,33.95,1.69M,0.3%
AP,Industrial,7/17/2012,34.2,34.05,34.2,34,2.07M,0.4%
AP,Industrial,7/18/2012,34.4,34.2,34.4,34.05,1.61M,0.6%
AP,Industrial,7/19/2012,34.05,34.45,34.45,34,5.21M,-1.0%
AP,Industrial,7/20/2012,34.55,34.05,34.75,34.05,2.79M,1.5%
AP,Industrial,7/23/2012,34.2,34.55,34.55,34.05,1.72M,-1.0%
AP,Industrial,7/24/2012,34.1,34.2,34.55,34,2.79M,-0.3%
AP,Industrial,7/25/2012,34.3,34,34.3,34,1.33M,0.6%
AP,Industrial,7/26/2012,34,34.1,34.25,34,2.30M,-0.9%
AP,Industrial,7/27/2012,34.7,34.05,34.7,34.05,2.35M,2.1%
AP,Industrial,7/30/2012,34.4,34.75,34.8,34.05,880.60K,-0.9%
AP,Industrial,7/31/2012,34.55,34.45,34.55,34.35,2.16M,0.4%
AP,Industrial,8/1/2012,34.4,34.6,34.75,34.4,2.06M,-0.4%
AP,Industrial,8/2/2012,34.45,34.4,34.6,34.2,1.15M,0.2%
AP,Industrial,8/3/2012,34,34.6,34.7,34,569.50K,-1.3%
AP,Industrial,8/6/2012,34.3,34.6,34.6,34.05,330.30K,0.9%
AP,Industrial,8/8/2012,34.4,34.6,34.6,34.35,2.66M,0.3%
AP,Industrial,8/9/2012,34.65,34.6,34.65,34.45,3.30M,0.7%
AP,Industrial,8/10/2012,34.7,34.1,34.7,34.1,1.26M,0.1%
AP,Industrial,8/13/2012,34.8,34.5,34.8,34.3,6.29M,0.3%
AP,Industrial,8/14/2012,34.65,34.85,34.85,34.6,1.40M,-0.4%
AP,Industrial,8/15/2012,34.8,34.7,34.8,34.6,1.53M,0.4%
AP,Industrial,8/16/2012,34.65,34.85,34.85,34.3,2.78M,-0.4%
AP,Industrial,8/17/2012,34.25,34.65,34.65,34.25,912.00K,-1.2%
AP,Industrial,8/22/2012,33.75,34.25,34.5,33.4,6.35M,-1.5%
AP,Industrial,8/23/2012,33.75,33.95,33.95,33.65,1.44M,0.0%
AP,Industrial,8/24/2012,33.7,34.3,34.3,33.25,1.01M,-0.2%
AP,Industrial,8/28/2012,33.6,33.7,33.8,33.6,2.78M,-0.3%
AP,Industrial,8/29/2012,33.75,33.8,34,33.6,1.10M,0.5%
AP,Industrial,8/30/2012,33.7,33.75,33.75,33.65,2.04M,-0.2%
AP,Industrial,8/31/2012,34,33.65,34,33.65,2.39M,0.9%
AP,Industrial,9/3/2012,33.8,34,34,33.7,1.89M,-0.6%
AP,Industrial,9/4/2012,33.7,33.95,33.95,33.55,1.19M,-0.3%
AP,Industrial,9/5/2012,33.45,33.6,33.7,33.3,2.25M,-0.7%
AP,Industrial,9/6/2012,33.55,33.6,33.8,32.8,6.94M,0.3%
AP,Industrial,9/7/2012,33.55,33.55,33.55,33.5,2.55M,0.0%
